StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2006,2006,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2007,2007,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2008,2008,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2009,2009,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2010,2010,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2011,2011,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2012,2012,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2013,2013,0
Central California Valley,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2014,2014,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2001,2001,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2002,2002,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2003,2003,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2004,2004,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2005,2005,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2006,2006,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2007,2007,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2008,2008,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2009,2009,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2010,2010,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2011,2011,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2012,2012,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2013,2013,0
Southern California Mountains,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2014,2014,0
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,19
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,22
