Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2060,Cascades,,Fire,6.866,Normal,Iteration and Timestep,48.10921116,0,54.97521116
2061,Cascades,,Fire,16.7794,Normal,Iteration and Timestep,65.65624998,0,82.43564998
2062,Cascades,,Fire,18.0332,Normal,Iteration and Timestep,44.6074556,0,62.6406556
2063,Cascades,,Fire,11.3895,Normal,Iteration and Timestep,49.15490523,0,60.54440523
2064,Cascades,,Fire,23.952,Normal,Iteration and Timestep,91.60081605,0,115.5528161
2065,Cascades,,Fire,12.2529,Normal,Iteration and Timestep,37.27704342,0,49.52994342
2066,Cascades,,Fire,13.166,Normal,Iteration and Timestep,61.78603642,0,74.95203642
2067,Cascades,,Fire,34.4964,Normal,Iteration and Timestep,63.02033053,0,97.51673053
2068,Cascades,,Fire,7.4255,Normal,Iteration and Timestep,39.34495507,0,46.77045507
2069,Cascades,,Fire,46.7826,Normal,Iteration and Timestep,117.5626901,0,164.3452901
2070,Cascades,,Fire,5.7966,Normal,Iteration and Timestep,41.64261454,0,47.43921454
2071,Cascades,,Fire,9.4213,Normal,Iteration and Timestep,28.45972443,0,37.88102443
2072,Cascades,,Fire,34.5096,Normal,Iteration and Timestep,110.0299687,0,144.5395687
2073,Cascades,,Fire,13.726,Normal,Iteration and Timestep,74.43178223,0,88.15778223
2074,Cascades,,Fire,6.0494,Normal,Iteration and Timestep,21.31368569,0,27.36308569
2075,Cascades,,Fire,14.9548,Normal,Iteration and Timestep,51.10261836,0,66.05741836
2076,Cascades,,Fire,6.5061,Normal,Iteration and Timestep,16.41111227,0,22.91721227
2077,Cascades,,Fire,20.9309,Normal,Iteration and Timestep,54.84210163,0,75.77300163
2078,Cascades,,Fire,8.7037,Normal,Iteration and Timestep,28.6550292,0,37.3587292
2079,Cascades,,Fire,24.864,Normal,Iteration and Timestep,69.87813681,0,94.74213681
2080,Cascades,,Fire,6.6635,Normal,Iteration and Timestep,28.91808893,0,35.58158893
2081,Cascades,,Fire,27.4799,Normal,Iteration and Timestep,82.91621724,0,110.3961172
2082,Cascades,,Fire,22.6302,Normal,Iteration and Timestep,101.4397723,0,124.0699723
2083,Cascades,,Fire,140.5238,Normal,Iteration and Timestep,162.4031765,0,302.9269765
2084,Cascades,,Fire,8.3081,Normal,Iteration and Timestep,39.38551351,0,47.69361351
2085,Cascades,,Fire,20.9975,Normal,Iteration and Timestep,63.65503104,0,84.65253104
2086,Cascades,,Fire,44.7209,Normal,Iteration and Timestep,109.8966098,0,154.6175098
2087,Cascades,,Fire,16.7677,Normal,Iteration and Timestep,80.97015536,0,97.73785536
2088,Cascades,,Fire,39.161,Normal,Iteration and Timestep,127.7924545,0,166.9534545
2089,Cascades,,Fire,7.04,Normal,Iteration and Timestep,31.76250114,0,38.80250114
2090,Cascades,,Fire,18.6332,Normal,Iteration and Timestep,63.81980193,0,82.45300193
2091,Cascades,,Fire,3.3996,Normal,Iteration and Timestep,9.874559488,0,13.27415949
2092,Cascades,,Fire,9.0577,Normal,Iteration and Timestep,65.16950165,0,74.22720165
2093,Cascades,,Fire,19.0511,Normal,Iteration and Timestep,57.37136714,0,76.42246714
2094,Cascades,,Fire,12.3304,Normal,Iteration and Timestep,63.82152968,0,76.15192968
2095,Cascades,,Fire,24.7881,Normal,Iteration and Timestep,57.01918392,0,81.80728392
2096,Cascades,,Fire,12.7787,Normal,Iteration and Timestep,50.54753026,0,63.32623026
2097,Cascades,,Fire,9.0021,Normal,Iteration and Timestep,36.86956012,0,45.87166012
2098,Cascades,,Fire,23.0916,Normal,Iteration and Timestep,75.40055106,0,98.49215106
2099,Cascades,,Fire,22.5077,Normal,Iteration and Timestep,78.67952026,0,101.1872203
2017,Central Basin and Range,,Fire,36.9788,Normal,Iteration and Timestep,94.57290213,0,131.5517021
2018,Central Basin and Range,,Fire,73.2721,Normal,Iteration and Timestep,175.6407583,0,248.9128583
2019,Central Basin and Range,,Fire,34.3755,Normal,Iteration and Timestep,109.7421687,0,144.1176687
2020,Central Basin and Range,,Fire,36.6283,Normal,Iteration and Timestep,69.02752459,0,105.6558246
2021,Central Basin and Range,,Fire,36.429,Normal,Iteration and Timestep,121.1966061,0,157.6256061
2022,Central Basin and Range,,Fire,53.4651,Normal,Iteration and Timestep,136.3327885,0,189.7978885
2023,Central Basin and Range,,Fire,56.3675,Normal,Iteration and Timestep,143.3135554,0,199.6810554
2024,Central Basin and Range,,Fire,46.9344,Normal,Iteration and Timestep,153.2511706,0,200.1855706
2025,Central Basin and Range,,Fire,38.0031,Normal,Iteration and Timestep,68.95814685,0,106.9612469
2026,Central Basin and Range,,Fire,24.6821,Normal,Iteration and Timestep,60.67758797,0,85.35968797
2027,Central Basin and Range,,Fire,36.9517,Normal,Iteration and Timestep,73.87824041,0,110.8299404
2028,Central Basin and Range,,Fire,63.4975,Normal,Iteration and Timestep,179.1877691,0,242.6852691
2029,Central Basin and Range,,Fire,57.1017,Normal,Iteration and Timestep,132.2710286,0,189.3727286
2030,Central Basin and Range,,Fire,34.4001,Normal,Iteration and Timestep,97.474814,0,131.874914
2031,Central Basin and Range,,Fire,42.5801,Normal,Iteration and Timestep,105.4094701,0,147.9895701
2032,Central Basin and Range,,Fire,30.4151,Normal,Iteration and Timestep,67.56630106,0,97.98140106
2033,Central Basin and Range,,Fire,22.1583,Normal,Iteration and Timestep,38.02580419,0,60.18410419
2034,Central Basin and Range,,Fire,29.7541,Normal,Iteration and Timestep,69.2678784,0,99.0219784
2035,Central Basin and Range,,Fire,47.7359,Normal,Iteration and Timestep,90.93695292,0,138.6728529
2036,Central Basin and Range,,Fire,32.0896,Normal,Iteration and Timestep,96.15638374,0,128.2459837
2037,Central Basin and Range,,Fire,24.662,Normal,Iteration and Timestep,46.8832733,0,71.5452733
2038,Central Basin and Range,,Fire,22.3868,Normal,Iteration and Timestep,46.0433809,0,68.4301809
2039,Central Basin and Range,,Fire,35.3929,Normal,Iteration and Timestep,79.0373991,0,114.4302991
2040,Central Basin and Range,,Fire,52.9396,Normal,Iteration and Timestep,129.1456687,0,182.0852687
2041,Central Basin and Range,,Fire,94.4266,Normal,Iteration and Timestep,196.1365962,0,290.5631962
2042,Central Basin and Range,,Fire,35.1551,Normal,Iteration and Timestep,101.4500268,0,136.6051268
2043,Central Basin and Range,,Fire,20.7397,Normal,Iteration and Timestep,47.34008197,0,68.07978197
2044,Central Basin and Range,,Fire,41.3265,Normal,Iteration and Timestep,123.4185205,0,164.7450205
