Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2096,Cascades,,Fire,10.844,Normal,Iteration and Timestep,40.54524802,0,51.38924802
2097,Cascades,,Fire,38.357,Normal,Iteration and Timestep,71.13197956,0,109.4889796
2098,Cascades,,Fire,11.0403,Normal,Iteration and Timestep,53.66984689,0,64.71014689
2099,Cascades,,Fire,5.7244,Normal,Iteration and Timestep,26.89339164,0,32.61779164
2017,Central Basin and Range,,Fire,20.132,Normal,Iteration and Timestep,32.6152445,0,52.7472445
2018,Central Basin and Range,,Fire,30.9041,Normal,Iteration and Timestep,58.49871633,0,89.40281633
2019,Central Basin and Range,,Fire,40.2385,Normal,Iteration and Timestep,60.80228063,0,101.0407806
2020,Central Basin and Range,,Fire,47.6519,Normal,Iteration and Timestep,120.383074,0,168.034974
2021,Central Basin and Range,,Fire,159.9016,Normal,Iteration and Timestep,298.0601831,0,457.9617831
2022,Central Basin and Range,,Fire,35.6748,Normal,Iteration and Timestep,76.08587949,0,111.7606795
2023,Central Basin and Range,,Fire,32.7605,Normal,Iteration and Timestep,66.02675709,0,98.78725709
2024,Central Basin and Range,,Fire,21.9519,Normal,Iteration and Timestep,47.81108353,0,69.76298353
2025,Central Basin and Range,,Fire,34.6753,Normal,Iteration and Timestep,67.56105331,0,102.2363533
2026,Central Basin and Range,,Fire,86.7118,Normal,Iteration and Timestep,191.623651,0,278.335451
2027,Central Basin and Range,,Fire,125.7815,Normal,Iteration and Timestep,242.8714993,0,368.6529993
2028,Central Basin and Range,,Fire,45.02,Normal,Iteration and Timestep,104.3966427,0,149.4166427
2029,Central Basin and Range,,Fire,54.4034,Normal,Iteration and Timestep,138.4052564,0,192.8086564
2030,Central Basin and Range,,Fire,49.6385,Normal,Iteration and Timestep,117.3849062,0,167.0234062
2031,Central Basin and Range,,Fire,110.8686,Normal,Iteration and Timestep,213.1098685,0,323.9784685
2032,Central Basin and Range,,Fire,26.2719,Normal,Iteration and Timestep,42.98819945,0,69.26009945
2033,Central Basin and Range,,Fire,24.8734,Normal,Iteration and Timestep,49.57931412,0,74.45271412
2034,Central Basin and Range,,Fire,49.5118,Normal,Iteration and Timestep,82.86955946,0,132.3813595
2035,Central Basin and Range,,Fire,41.7266,Normal,Iteration and Timestep,137.9995288,0,179.7261288
2036,Central Basin and Range,,Fire,36.692,Normal,Iteration and Timestep,65.25212951,0,101.9441295
2037,Central Basin and Range,,Fire,28.4721,Normal,Iteration and Timestep,56.41988437,0,84.89198437
2038,Central Basin and Range,,Fire,38.0232,Normal,Iteration and Timestep,88.85106138,0,126.8742614
2039,Central Basin and Range,,Fire,41.5086,Normal,Iteration and Timestep,98.01138647,0,139.5199865
2040,Central Basin and Range,,Fire,284.6165,Normal,Iteration and Timestep,383.5640114,0,668.1805114
2041,Central Basin and Range,,Fire,64.5324,Normal,Iteration and Timestep,132.3092645,0,196.8416645
2042,Central Basin and Range,,Fire,35.9199,Normal,Iteration and Timestep,114.6344926,0,150.5543926
2043,Central Basin and Range,,Fire,25.7514,Normal,Iteration and Timestep,39.35304491,0,65.10444491
2044,Central Basin and Range,,Fire,160.7033,Normal,Iteration and Timestep,273.0145166,0,433.7178166
2045,Central Basin and Range,,Fire,24.5602,Normal,Iteration and Timestep,58.39807934,0,82.95827934
2046,Central Basin and Range,,Fire,44.4773,Normal,Iteration and Timestep,112.2260866,0,156.7033866
2047,Central Basin and Range,,Fire,27.6398,Normal,Iteration and Timestep,45.65612681,0,73.29592681
2048,Central Basin and Range,,Fire,39.9301,Normal,Iteration and Timestep,90.43381367,0,130.3639137
2049,Central Basin and Range,,Fire,55.1967,Normal,Iteration and Timestep,126.4026949,0,181.5993949
2050,Central Basin and Range,,Fire,22.6641,Normal,Iteration and Timestep,64.98989654,0,87.65399654
2051,Central Basin and Range,,Fire,46.7061,Normal,Iteration and Timestep,90.54910445,0,137.2552045
2052,Central Basin and Range,,Fire,31.1418,Normal,Iteration and Timestep,95.09429399,0,126.236094
2053,Central Basin and Range,,Fire,26.8117,Normal,Iteration and Timestep,69.91036103,0,96.72206103
2054,Central Basin and Range,,Fire,34.1955,Normal,Iteration and Timestep,57.48024633,0,91.67574633
2055,Central Basin and Range,,Fire,25.1279,Normal,Iteration and Timestep,49.52550905,0,74.65340905
2056,Central Basin and Range,,Fire,42.5456,Normal,Iteration and Timestep,130.5197372,0,173.0653372
2057,Central Basin and Range,,Fire,203.7041,Normal,Iteration and Timestep,310.3846363,0,514.0887363
2058,Central Basin and Range,,Fire,34.2078,Normal,Iteration and Timestep,97.2966942,0,131.5044942
2059,Central Basin and Range,,Fire,26.3346,Normal,Iteration and Timestep,57.83740381,0,84.17200381
2060,Central Basin and Range,,Fire,25.1322,Normal,Iteration and Timestep,45.44981961,0,70.58201961
2061,Central Basin and Range,,Fire,29.9429,Normal,Iteration and Timestep,70.82117734,0,100.7640773
2062,Central Basin and Range,,Fire,39.847,Normal,Iteration and Timestep,135.5795083,0,175.4265083
2063,Central Basin and Range,,Fire,42.1978,Normal,Iteration and Timestep,110.0018369,0,152.1996369
2064,Central Basin and Range,,Fire,51.9397,Normal,Iteration and Timestep,137.1726225,0,189.1123225
2065,Central Basin and Range,,Fire,35.7005,Normal,Iteration and Timestep,77.43956059,0,113.1400606
2066,Central Basin and Range,,Fire,34.4503,Normal,Iteration and Timestep,77.12531685,0,111.5756169
2067,Central Basin and Range,,Fire,24.0166,Normal,Iteration and Timestep,47.6388152,0,71.6554152
2068,Central Basin and Range,,Fire,30.7247,Normal,Iteration and Timestep,49.42182077,0,80.14652077
2069,Central Basin and Range,,Fire,20.5653,Normal,Iteration and Timestep,32.22706108,0,52.79236108
2070,Central Basin and Range,,Fire,53.4317,Normal,Iteration and Timestep,127.7942637,0,181.2259637
2071,Central Basin and Range,,Fire,164.7838,Normal,Iteration and Timestep,271.9171848,0,436.7009848
2072,Central Basin and Range,,Fire,21.0707,Normal,Iteration and Timestep,37.13888246,0,58.20958246
2073,Central Basin and Range,,Fire,36.2203,Normal,Iteration and Timestep,134.5579111,0,170.7782111
2074,Central Basin and Range,,Fire,79.4142,Normal,Iteration and Timestep,202.3493316,0,281.7635316
2075,Central Basin and Range,,Fire,28.2888,Normal,Iteration and Timestep,66.36361669,0,94.65241669
2076,Central Basin and Range,,Fire,21.0739,Normal,Iteration and Timestep,65.79245684,0,86.86635684
2077,Central Basin and Range,,Fire,28.5648,Normal,Iteration and Timestep,68.61053975,0,97.17533975
2078,Central Basin and Range,,Fire,22.73,Normal,Iteration and Timestep,43.93984161,0,66.66984161
2079,Central Basin and Range,,Fire,49.8966,Normal,Iteration and Timestep,145.6273925,0,195.5239925
2080,Central Basin and Range,,Fire,225.7341,Normal,Iteration and Timestep,329.7488816,0,555.4829816
2081,Central Basin and Range,,Fire,29.7171,Normal,Iteration and Timestep,51.39121185,0,81.10831185
